OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
2975,ACTIVE,41,2009-01-20T,"2675 GATEWAY RD, STE 104, CARLSBAD, CA  92009-1726",6254447.06853,1991460.71324,Rubios Fresh Mexican Grill
2976,ACTIVE,41,2008-10-06T,"285 3RD AVE, CHULA VISTA, CA  91910-2721",-1,-1,Just Java Cafe
2977,ACTIVE,47,2008-12-17T,"2760 5TH AVE, STE 105, SAN DIEGO, CA  92103-6330",6304467.834,1985558.905,Hane
2978,ACTIVE,21,2008-12-12T,"510 W 13TH AVE, ESCONDIDO, CA  92025-5619",6307499.09056,1984100.79662,Sprouts Farmers Markets
2979,ACTIVE,20,2008-10-08T,"593 N MOLLISON AVE, EL CAJON, CA  92021-1648",6346369.69616,1872331.33221,Mollison Gas And Mini Market
2980,ACTIVE,41,2009-03-05T,"2036 DAIRY MART RD, STE 127, SAN DIEGO, CA  92173-1883",6310993.46191,1784881.94217,Baja Fish Mart
2981,ACTIVE,41,2008-12-18T,"10606 CAMINO RUIZ, STE 2, SAN DIEGO, CA  92126-3263",-1,-1,Luong Hai Ky Restaurant
2982,ACTIVE,20,2008-10-23T,"796 BROADWAY, CHULA VISTA, CA  91910-5329",6304486.08921,1806850.89626,7 Eleven Store 2131 13569
2983,ACTIVE,41,2009-08-03T,"4259 OCEANSIDE BLVD, STE 105, OCEANSIDE, CA  92056-3471",6246109.09561,2020861.50816,Cejas Mexican Diner & Grill
2984,ACTIVE,20,2008-10-31T,"8011 MISSION GORGE RD, STE A, SANTEE, CA  92071-3466",6336433.37632,1885576.17061,Speedee Mart
2985,ACTIVE,41,2009-03-03T,"2121 EL CAJON BLVD, STE A, SAN DIEGO, CA  92104-1101",6287426.05752,1855612.2184,Pizzeria Luigi
2986,ACTIVE,41,2008-11-21T,"274 HARBOR DR S, # A, OCEANSIDE, CA  92054-1037",6212546.0005,2019485.18675,Zand Inc
2987,ACTIVE,86,2009-10-20T,"3231 UNIVERSITY AVE, SAN DIEGO, CA  92104-2009",6292801.26316,1853241,Fresh & Easy Neighborhood Market Store 1222
2988,ACTIVE,41,2009-03-17T,"447 HORTON PLZ, SAN DIEGO, CA  92101-6150",6277833.395,1849912.674,Steak Escape
